cas;domaine;action_a_verifier;resultat_attendu;statut;date_heure;recetteur;environnement;profil;preuve_anonymisee;anomalie
P-12;Progression;Archiver module;Historique conservé et dénominateur ajusté;À faire;;;;;;
P-13;Progression;Consulter série commencée;En cours et reprise visibles;À faire;;;;;;
P-14;Progression;Terminer dernier module;Série 100% sans prochain module;À faire;;;;;;
P-15;Progression;Écriture non autorisée;HTTP 401 ou 403;À faire;;;;;;
P-16;Progression;Valeurs invalides;HTTP 400;À faire;;;;;;
P-17;Progression;Rétention événements;Événements anciens purgés progression conservée;À faire;;;;;;
O-01;Hors ligne;Manifeste sans jeton;HTTP 401 sans donnée;À faire;;;;;;
O-02;Hors ligne;Manifeste membre;Publié téléchargeable sans URL signée;À faire;;;;;;
O-03;Hors ligne;Télécharger audio vidéo texte;Disponibles dans Téléchargements;À faire;;;;;;
O-04;Hors ligne;Inspecter IndexedDB;ownerId version date sans mediaUrl;À faire;;;;;;
O-05;Hors ligne;Inspecter Cache Storage;Média seul et aucune réponse API;À faire;;;;;;
O-06;Hors ligne;Recharger Offline;Shell fiche et contenu accessibles;À faire;;;;;;
O-07;Hors ligne;Fermer puis rouvrir Offline;Téléchargement restauré si persistance;À faire;;;;;;
O-08;Hors ligne;Changer de compte;Isolation complète des téléchargements;À faire;;;;;;
O-09;Hors ligne;Dépasser quota;Refus et aucun cache incomplet;À faire;;;;;;
O-10;Hors ligne;Annuler téléchargement;Interrompu sans téléchargement final;À faire;;;;;;
O-11;Hors ligne;Télécharger contenu interdit;Refus sans média en cache;À faire;;;;;;
O-12;Hors ligne;Avancer média Offline;Événement en outbox source offline_sync;À faire;;;;;;
O-13;Hors ligne;Terminer texte Offline;État local et événement en file;À faire;;;;;;
O-14;Hors ligne;Rétablir réseau;Synchronisation ordonnée et file vidée;À faire;;;;;;
O-15;Hors ligne;Interrompre synchronisation;Pas de doublon et reprises comptées;À faire;;;;;;
O-16;Hors ligne;Rejouer eventId;Idempotence sans régression;À faire;;;;;;
O-17;Hors ligne;Envoyer événement ancien;Complétion reste à 100%;À faire;;;;;;
O-18;Hors ligne;Erreur permanente en file;Pas de retry infini;À faire;;;;;;
O-19;Hors ligne;Archiver contenu téléchargé;Copie locale révoquée;À faire;;;;;;
O-20;Hors ligne;Désactiver offline_downloadable;Copie révoquée;À faire;;;;;;
O-21;Hors ligne;Modifier contenu;Version incrémentée et re-téléchargement;À faire;;;;;;
O-22;Hors ligne;Désactiver téléchargements;Copies gérées révoquées;À faire;;;;;;
O-23;Hors ligne;Expirer URL signée;Aucune URL stockée et copie conforme;À faire;;;;;;
O-24;Hors ligne;Migrer ancien cache;V1 supprimé et retéléchargement demandé;À faire;;;;;;
O-25;Hors ligne;Commenter ou modérer Offline;Action non envoyée et message clair;À faire;;;;;;
O-26;Hors ligne;Manifeste PWA navigation Offline;SW actif et fallback SPA;À faire;;;;;;
O-27;Hors ligne;Supprimer un ou tous téléchargements;Métadonnées blobs et estimation mis à jour;À faire;;;;;;
